reviewId,userName,content,score
8155d3b3-d410-4485-9a03-4026172ae721,Eduardo Monterrey,"Very useful, now I can control everything in my kids cellphones",5
ddad9202-e4f2-4713-b548-95243c7ff676,Maris Jansons,"It is ok, has it's share of bugs, but generally works.",4
25064aea-e1f1-4acf-847b-cf03ed24081f,Saima Ahmed,Absolutely terrible app. Don't get this app for your kids,1
013b32d7-d4cf-47b4-a2d5-ffaf10e0c374,Aksh Patel,Spam,1
bb0fa7a1-c4ce-4083-bf53-8afa25cc6bbb,zalim nastaev,"I can't find a way to contact support, so I'll leave it here. The very first day of trial period, the stats show 6 minutes of activity time on kid's phone. The reality though is 2+ hours. What's the point of using it?",1
9aae6631-8b42-4677-97b7-11919f29d6c7,Paul Schratz,Subscribed to something that was supposed to do something but there were so many options and services that I couldn't tell what it was supposed to do or if it was doing it. Extraordinarily complex to figure out what I'd subscribed to and no help from the company. Cancelled but not before I'd shelled out money for nothing.,1
052ff6bc-08d3-42a8-8487-a9cddadd04ab,eryn hansen,"doesn't work. And nah, Kaspersky. Please go read every other 1 star review about why your product doesn't work. Those are my reasons too. Thanks",1
ca28d246-42e7-43d0-abf0-ca70fa618f12,Jason Skowronek,Update 8/17/2023: Gave my kid their first additional time from my app today. Well done!!,4
27093f8d-374a-4444-b32b-99c1f7e58aa2,mohamed kasimi,"The app is good, but youtube history details are not showing which is unacceptable, i hope you fix that",3
f8b2c8f9-a4e7-4e8b-84a3-04e0705104ef,Janet Nordin,"Great app for controlling screen time, content and usage. Must have app for families with young kids.",5
87d33cc6-1576-46a1-82bd-41fa63443dc5,sebastian tamayo,Does not work,1
965295a4-f784-43e8-8272-cf19abf1be8b,Begzot Hanov,"Для меня самое главное, что приложение не глючит и все функции работают",5
c2a93652-617d-450c-b439-1b15c76c5e68,MyGarmin Fenix7x,Lots of functions not working,1
79a5e987-546f-4cbe-af0d-6443f5fca965,Stephen Crayton,"Worked as advertised, not as other apps advertize. It does its own thing, and well. 1st) It prevents kids from uninstalling it, which is a great feature for older kids who are becoming more tech savvy. 2nd) it doesn't track YouTube searches in the app. The fix is force kid to watch through web browser (Uninstall YouTube) 3rd) Search still shows results even if you ban Google products. This means inappropriate searches can still be searched, just not opened. This can be solved by removing search.",5
7b4d8af6-3767-4b73-a90c-2fb6eb9f9b3c,Fasal Mahmood,"Was a great app until last update on the iOS, it no longer has the safe browser so I no longer can control what my kids can access via the browser. Have been using it for a few years and brought the yearly subscriptions, but I won't any longer if the safe browser is no longer available.",5
1be66209-8bd0-4539-9138-997d69015436,Ashok Ighe,The irritating floating widget is there at the corner of the screen all the time. Can't turn it Off.,1
6a620cbf-1e5e-4f0d-9a46-3a64e19b9fe9,Shemeer S,Good app,4
0037e3c3-a372-46b1-b7a0-da087c3f9e38,Muhammadtaki Fakhriyv,"Пока не хватает опции чтобы ребенок мог отправить на наши телефоны сигнал о помощи или перезвоне, но в остальном всего достаточно.",5
240a11e8-ab8c-4488-9cd2-15573c9c29f3,M. Soubhi Oufi,Very good to control ur child PC,5
d0a39774-aa56-46a6-b8a5-7fba6ee0c020,Kimbo Slice,Good,5
f7c5db9d-9f46-4ead-a1af-7b714d1dad5f,Jokūbas Bieliauskas,What was this app creator thinking when creating this app its not right for children. Whem my son is using the apps in the locked screen it lets him get into the app on the 10-th presss it laggs very hard to controll. DO NOT RECOMEND,1
970d71bc-0219-496d-bd33-5a79446de032,Skyskovski Pinard,"Worry free screen time monitoring, I love it. The kids know exactly how it works and what to do when their screen time is up. This makes it so easy to manage their screen time, especially when I'm not with them. Works without any issues for years, and the kids can't uninstall it.",5
02970f0a-b95b-4eb1-b366-6c6670b5a03a,Ephrain Chatto Paylangco,"Fix on the block option, it's unresponsive",1
6ac69482-67bd-44b5-9d1c-6d7135a97fbc,Mohammed Elhaouari,"This app works great, it lacks few features but for the price it's worth it.",4
aed018f9-be74-470f-841e-70b87eab59d2,mfed ismael,Great app total protection for your kids. Am not disappointed.,5
81862bb2-ff51-48c1-8b7d-2cba67711987,Dumb Ass,HELP ME,1
fcd1d586-458b-4c5d-a2a2-8aa716444d76,Arman Tumanyan,"Думал за такую низкую цену будет развод, а оказалось отличное приложение, даже не лагает ни в чем.",5
811971dd-bf15-4adb-8e05-0ad4d18d1e1d,dino,"Good control of screen activities and flexible in actions to take. Quite stable, too.",5
